2022-02-17
7701   2021-11-09   site:*/forgotpassword.php   Anirudh Kumar Kushwaha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7722   2021-11-09   intitle:"Index of" *.xlsx   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7703   2021-11-09   site:.edu intitle:"index of"   Anirudh Kumar Kushwaha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7717   2021-11-09   intext:"Index of" intext:"config.zip"   Parth Surati   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7699   2021-11-09   site:gov.hk intitle:index of /   Nithissh S   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7706   2021-11-09   site:.edu inurl:search   Anirudh Kumar Kushwaha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7718   2021-11-09   inurl: conf/fastcgi.conf   Nithissh S   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7693   2021-11-09   inurl:gov.in & (intitle:login | intitle:signin)   Sabyasachi Paul   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7708   2021-11-09   intitle:"Index of" "Screenshot"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7712   2021-11-09   intitle:"index of" "certificates"   Chinmay Divekar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7705   2021-11-09   site:pastebin.com "*@gmail.com password"   Anirudh Kumar Kushwaha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7696   2021-11-09   {intitle: indexof/.git }   Aadesh deep namdev   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7697   2021-11-09   intitle:"webcamXP" inurl:8080   Krishna Agarwal   Various Online Devices   This category contains things like printers, video cameras, and all sorts of cool things found on the web with Google.
7695   2021-11-09   inurl:/commodities.php?id=   Harshit Koli   Sensitive Online Shopping Info   Examples of queries that can reveal online shopping infomation like customer data, suppliers, orders, credit card numbers, credit card info, etc
7720   2021-11-09   site:com intitle:"index of" .env   Suvendu Dash   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7713   2021-11-09   intitle:"index of" "/.cpanel"   Chinmay Divekar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
